method,time_sec,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,Purity
MiniBatchKMeans (JL),0.11319569399984175,6,0.004066430756977076,11.174378065404662,8.345777936208224,0.0376452523861684,0.07094892730673462,0.546
DBSCAN (JL),0.24286802899996474,1,,,,0.0,0.0,0.5376
Agglomerative (JL),0.7052000399999088,6,-0.007074776502848286,4.873368136890611,8.001107876599361,0.028088051927945498,0.08108137839081368,0.5724
KMeans (JL),0.8443217789999835,6,0.0050438032021263264,10.206930517053637,9.621173674476212,0.03209729236979201,0.08457659345167229,0.5788
Birch (JL),1.0368715669997073,6,-0.006107708462945375,6.3996904781938335,7.6345985449058364,0.03693568276548213,0.09230369525316716,0.58
Spectral (JL),2.5064955120001287,6,-0.0034543569238831865,4.774150298264309,8.618736259865551,0.03616134478870069,0.1004990831860055,0.5824
HDBSCAN (JL),4.850284639000165,11,-0.012788599636755413,4.169673128363247,4.762318413480948,0.03194025798603714,0.06075835149316593,0.5624
JL + LSH graph clustering,10.744347092000226,2489,0.00338289342367181,0.28258737533991135,5.692953278899136,1.3081165989856311e-05,0.2932749053786028,0.9992
